final_drop_id	enemy_id	enemy_source	source_id	元drop_id	敵の名前	is_boss	街ID	街名	dungeon_id	ダンジョン名	敵の役割	Lv	敵の型	属性	ドロップ区分	レアドロップ品	レアドロップ種別	排他カテゴリ	ドロップタイミング	ドロップ率(%)	初回確定入手	追加初回報酬	追加初回報酬種別	効果案＿改善後カイゼンゴ	結合元	排他チェック	1体1レア割当チェック	メモ	素材ID	素材カテゴリ	素材レア度	NPC売却価格	市場取引可	主用途	B案ロール	レシピ必要数方針
56	31	モンスターマスタ	26	26	泉スライム	0	1	王都アークレア	6	妖精の泉	雑魚	15	耐久型	水	レアドロップ	泉スライムの印	印	印系	通常撃破時	1.2	NO			HP+60、DEF+6	ドロップ定義を敵別レアドロップ割当に整形。レアドロップ表の代表情報列は混同防止のため削除。	OK	OK	通常敵は撃破時にドロップ率で判定。敵1体につきレアドロップ候補は1件のみ。								
57	31	モンスターマスタ	26	MAT0031	泉スライム	0	1	王都アークレア	6	妖精の泉	雑魚	15	耐久型	水	素材ドロップ	泉スライムの粘液	素材	素材系	通常撃破時	35	NO			防具用素材。素材市場・鍛冶屋レシピ対象。運が悪い場合は市場購入で救済可能。	素材マスタ	OK（レア枠とは別枠）	対象外（素材）	通常素材枠。レアドロップ枠とは別判定で、鍛冶屋・素材市場の主素材として扱う。	MAT0031	通常素材	N	55	YES	防具	通常量産素材	10〜40個程度。基本武器の主素材
58	32	モンスターマスタ	27	27	フェアリー	0	1	王都アークレア	6	妖精の泉	雑魚	16	魔法型	水	レアドロップ	フェアリーの耳飾り	装飾品	武器系	通常撃破時	2	NO			MAG+27、LUK+11	ドロップ定義を敵別レアドロップ割当に整形。レアドロップ表の代表情報列は混同防止のため削除。	OK	OK	通常敵は撃破時にドロップ率で判定。敵1体につきレアドロップ候補は1件のみ。								
59	32	モンスターマスタ	27	MAT0032	フェアリー	0	1	王都アークレア	6	妖精の泉	雑魚	16	魔法型	水	素材ドロップ	妖精粉	素材	素材系	通常撃破時	35	NO			魔法武器・装飾品用素材。素材市場・鍛冶屋レシピ対象。運が悪い場合は市場購入で救済可能。	素材マスタ	OK（レア枠とは別枠）	対象外（素材）	通常素材枠。レアドロップ枠とは別判定で、鍛冶屋・素材市場の主素材として扱う。	MAT0032	通常素材	N	60	YES	魔法武器・装飾品	通常量産素材	10〜40個程度。基本武器の主素材
60	33	モンスターマスタ	28	28	水精の子	0	1	王都アークレア	6	妖精の泉	やや強い	17	魔法型	水	レアドロップ	水精の子の印	印	印系	通常撃破時	1	NO			MP+21、MAG+7	ドロップ定義を敵別レアドロップ割当に整形。レアドロップ表の代表情報列は混同防止のため削除。	OK	OK	通常敵は撃破時にドロップ率で判定。敵1体につきレアドロップ候補は1件のみ。								
61	33	モンスターマスタ	28	MAT0033	水精の子	0	1	王都アークレア	6	妖精の泉	やや強い	17	魔法型	水	素材ドロップ	水精の子の水晶	素材	素材系	通常撃破時	28	NO			魔法武器・装飾品用素材。素材市場・鍛冶屋レシピ対象。運が悪い場合は市場購入で救済可能。	素材マスタ	OK（レア枠とは別枠）	対象外（素材）	通常素材枠。レアドロップ枠とは別判定で、鍛冶屋・素材市場の主素材として扱う。	MAT0033	通常素材	N+	80	YES	魔法武器・装飾品	中級量産素材	5〜20個程度。中級武器の補助素材
62	34	モンスターマスタ	29	29	いたずらピクシー	0	1	王都アークレア	6	妖精の泉	レア敵	17	魔法型	水	レアドロップ	いたずらピクシーの印	印	印系	通常撃破時	0.8	NO			MP+21、MAG+7	ドロップ定義を敵別レアドロップ割当に整形。レアドロップ表の代表情報列は混同防止のため削除。	OK	OK	通常敵は撃破時にドロップ率で判定。敵1体につきレアドロップ候補は1件のみ。								
63	34	モンスターマスタ	29	MAT0034	いたずらピクシー	0	1	王都アークレア	6	妖精の泉	レア敵	17	魔法型	水	素材ドロップ	いたずらピクシーの水晶	素材	素材系	通常撃破時	8	NO			魔法武器・装飾品用素材。素材市場・鍛冶屋レシピ対象。運が悪い場合は市場購入で救済可能。	素材マスタ	OK（レア枠とは別枠）	対象外（素材）	通常素材枠。レアドロップ枠とは別判定で、鍛冶屋・素材市場の主素材として扱う。	MAT0034	レア素材	R	135	YES	魔法武器・装飾品	希少量産素材	3〜10個程度。高級武器の中核素材
64	35	モンスターマスタ	30	30	泉の番人	0	1	王都アークレア	6	妖精の泉	最深部候補	18	標準型	水	レアドロップ	泉の番人の印	印	印系	通常撃破時	0.6	NO			HP+48、STR+4、DEF+4	ドロップ定義を敵別レアドロップ割当に整形。レアドロップ表の代表情報列は混同防止のため削除。	OK	OK	通常敵は撃破時にドロップ率で判定。敵1体につきレアドロップ候補は1件のみ。								
65	35	モンスターマスタ	30	MAT0035	泉の番人	0	1	王都アークレア	6	妖精の泉	最深部候補	18	標準型	水	素材ドロップ	泉の番人の水晶	素材	素材系	通常撃破時	12	NO			魔法武器・装飾品用素材。素材市場・鍛冶屋レシピ対象。運が悪い場合は市場購入で救済可能。	素材マスタ	OK（レア枠とは別枠）	対象外（素材）	通常素材枠。レアドロップ枠とは別判定で、鍛冶屋・素材市場の主素材として扱う。	MAT0035	準レア素材	R	155	YES	魔法武器・装飾品	希少量産素材	3〜10個程度。高級武器の中核素材
66	36	ボスマスタ	356	MAT0036	泉の妖精王ニンフィア	1	1	王都アークレア	6	妖精の泉	ボス	18	物理型	魔	素材初回報酬	泉の妖精王ニンフィアの刻印	素材	素材系	ボス初回撃破時	100	YES			レシピ解放キー・職業解放・称号用素材。初回撃破で1個だけ入手。量産素材にはしない。高難度レシピの鍵として使う。	素材マスタ	OK（レア枠とは別枠）	対象外（素材）	ボス/街最終ボスの初回撃破時に1個確定。再戦不可・量産不可の鍵素材。	MAT0036	討伐証素材	R	0	NO	レシピ解放キー・職業解放・称号	レシピ鍵	原則1個まで。複数要求禁止
67	37	モンスターマスタ	31	31	訓練兵	0	1	王都アークレア	7	見習い訓練場	雑魚	18	物理型	無	レアドロップ	訓練兵の武器	武器	武器系	通常撃破時	2	NO			STR+36	ドロップ定義を敵別レアドロップ割当に整形。レアドロップ表の代表情報列は混同防止のため削除。	OK	OK	通常敵は撃破時にドロップ率で判定。敵1体につきレアドロップ候補は1件のみ。								
68	37	モンスターマスタ	31	MAT0037	訓練兵	0	1	王都アークレア	7	見習い訓練場	雑魚	18	物理型	無	素材ドロップ	訓練兵の徽章	素材	素材系	通常撃破時	35	NO			武器用素材。素材市場・鍛冶屋レシピ対象。運が悪い場合は市場購入で救済可能。	素材マスタ	OK（レア枠とは別枠）	対象外（素材）	通常素材枠。レアドロップ枠とは別判定で、鍛冶屋・素材市場の主素材として扱う。	MAT0037	通常素材	N	65	YES	武器	通常量産素材	10〜40個程度。基本武器の主素材
69	38	モンスターマスタ	32	32	見習い剣士	0	1	王都アークレア	7	見習い訓練場	雑魚	18	物理型	無	レアドロップ	見習い剣士の剣	武器	武器系	通常撃破時	2	NO			STR+36	ドロップ定義を敵別レアドロップ割当に整形。レアドロップ表の代表情報列は混同防止のため削除。	OK	OK	通常敵は撃破時にドロップ率で判定。敵1体につきレアドロップ候補は1件のみ。								
70	38	モンスターマスタ	32	MAT0038	見習い剣士	0	1	王都アークレア	7	見習い訓練場	雑魚	18	物理型	無	素材ドロップ	見習い剣士の徽章	素材	素材系	通常撃破時	35	NO			武器用素材。素材市場・鍛冶屋レシピ対象。運が悪い場合は市場購入で救済可能。	素材マスタ	OK（レア枠とは別枠）	対象外（素材）	通常素材枠。レアドロップ枠とは別判定で、鍛冶屋・素材市場の主素材として扱う。	MAT0038	通常素材	N	70	YES	武器	通常量産素材	10〜40個程度。基本武器の主素材
71	39	モンスターマスタ	33	33	見習い魔術師	0	1	王都アークレア	7	見習い訓練場	やや強い	19	魔法型	無	レアドロップ	見習い魔術師の印	印	印系	通常撃破時	1	NO			MP+21、MAG+7	ドロップ定義を敵別レアドロップ割当に整形。レアドロップ表の代表情報列は混同防止のため削除。	OK	OK	通常敵は撃破時にドロップ率で判定。敵1体につきレアドロップ候補は1件のみ。								
72	39	モンスターマスタ	33	MAT0039	見習い魔術師	0	1	王都アークレア	7	見習い訓練場	やや強い	19	魔法型	無	素材ドロップ	見習い魔術師の魔核	素材	素材系	通常撃破時	28	NO			魔法武器・装飾品用素材。素材市場・鍛冶屋レシピ対象。運が悪い場合は市場購入で救済可能。	素材マスタ	OK（レア枠とは別枠）	対象外（素材）	通常素材枠。レアドロップ枠とは別判定で、鍛冶屋・素材市場の主素材として扱う。	MAT0039	通常素材	N+	90	YES	魔法武器・装飾品	中級量産素材	5〜20個程度。中級武器の補助素材
73	40	モンスターマスタ	34	34	教官の影	0	1	王都アークレア	7	見習い訓練場	レア敵	20	標準型	無	レアドロップ	教官の影の印	印	印系	通常撃破時	0.8	NO			HP+48、STR+4、DEF+4	ドロップ定義を敵別レアドロップ割当に整形。レアドロップ表の代表情報列は混同防止のため削除。	OK	OK	通常敵は撃破時にドロップ率で判定。敵1体につきレアドロップ候補は1件のみ。								
74	40	モンスターマスタ	34	MAT0040	教官の影	0	1	王都アークレア	7	見習い訓練場	レア敵	20	標準型	無	素材ドロップ	教官の影の徽章	素材	素材系	通常撃破時	8	NO			汎用武器用素材。素材市場・鍛冶屋レシピ対象。運が悪い場合は市場購入で救済可能。	素材マスタ	OK（レア枠とは別枠）	対象外（素材）	通常素材枠。レアドロップ枠とは別判定で、鍛冶屋・素材市場の主素材として扱う。	MAT0040	レア素材	R	165	YES	汎用武器	希少量産素材	3〜10個程度。高級武器の中核素材
75	41	モンスターマスタ	35	35	ゴブリンキング	0	1	王都アークレア	7	見習い訓練場	ボス候補	20	物理型	無	レアドロップ	ゴブリンキングの王印	王印	印系	通常撃破時	0.5	NO			HP+155、STR+31	ドロップ定義を敵別レアドロップ割当に整形。レアドロップ表の代表情報列は混同防止のため削除。	OK	OK	ボス候補は実ボスではないため100%報酬にしない。通常敵扱いの低確率レアドロップ。								
76	41	モンスターマスタ	35	MAT0041	ゴブリンキング	0	1	王都アークレア	7	見習い訓練場	ボス候補	20	物理型	無	素材ドロップ	ゴブリンキングの牙	素材	素材系	通常撃破時	12	NO			武器用素材。素材市場・鍛冶屋レシピ対象。運が悪い場合は市場購入で救済可能。	素材マスタ	OK（レア枠とは別枠）	対象外（素材）	通常素材枠。レアドロップ枠とは別判定で、鍛冶屋・素材市場の主素材として扱う。	MAT0041	通常素材	N	90	YES	武器	通常量産素材	10〜40個程度。基本武器の主素材
77	42	ボスマスタ	357	364	訓練教官バルド	1	1	王都アークレア	7	見習い訓練場	ボス	20	物理型	無	街最終ボス撃破報酬	訓練教官バルドの王印	王印	印系	街最終ボス初回撃破時	100	YES			HP+175、STR+35	ドロップ定義を敵別レアドロップ割当に整形。レアドロップ表の代表情報列は混同防止のため削除。	OK	OK	各街の7番目ダンジョンの本ボスのみ、初回撃破時に100%入手。								
78	42	ボスマスタ	357	MAT0042	訓練教官バルド	1	1	王都アークレア	7	見習い訓練場	ボス	20	物理型	無	素材初回報酬	訓練教官バルドの王印	素材	素材系	ボス初回撃破時	100	YES			レシピ解放キー・職業解放・称号用素材。初回撃破で1個だけ入手。量産素材にはしない。高難度レシピの鍵として使う。	素材マスタ	OK（レア枠とは別枠）	対象外（素材）	ボス/街最終ボスの初回撃破時に1個確定。再戦不可・量産不可の鍵素材。	MAT0042	討伐証素材	SR	0	NO	レシピ解放キー・職業解放・称号	レシピ鍵	原則1個まで。複数要求禁止
79	43	モンスターマスタ	36	36	シーラット	0	2	港町マリネス	8	潮風の海岸	雑魚	20	標準型	水	レアドロップ	シーラットの首飾り	装飾品	武器系	通常撃破時	2	NO			HP+80、LUK+8	ドロップ定義を敵別レアドロップ割当に整形。レアドロップ表の代表情報列は混同防止のため削除。	OK	OK	通常敵は撃破時にドロップ率で判定。敵1体につきレアドロップ候補は1件のみ。								
